338,656922288,baidu.com,2
153,648642796,google.com,2
244,656930942,google.com,2
229,646139341,youtube.com,3
160,637602195,google.com,3
470,632791541,facebook.com,2
280,636651420,yahoo.com,0
314,648344598,google.com,1
487,648036229,facebook.com,2
344,641886933,google.com,3
625,635981741,google.com,1
635,655316474,facebook.com,3
499,658639823,facebook.com,3
503,637121162,baidu.com,1
278,650439997,youtube.com,2
659,648086789,google.com,3
217,653408941,google.com,3
130,659456593,facebook.com,0
653,639913263,google.com,1
449,652348560,yahoo.com,3
410,634692405,amazon.com,0
707,653191737,facebook.com,3
432,641468860,twitter.com,0
91,659010950,facebook.com,0
339,652034987,google.com,0
420,654511389,baidu.com,2
496,638143426,baidu.com,1
490,647331740,twitter.com,2
447,645732042,facebook.com,3
489,632593464,facebook.com,3
47,646952140,baidu.com,3
132,642537560,youtube.com,1
438,635575016,facebook.com,3
31,642049712,google.com,2
89,648316134,taobao.com,2
49,659252703,google.com,2
533,644389122,baidu.com,2
262,657442143,google.com,1
174,634134516,baidu.com,2
694,633785595,youtube.com,3
59,644342368,youtube.com,3
282,650996755,google.com,0
657,648540348,baidu.com,2
272,657898309,taobao.com,0
412,655244207,taobao.com,0
288,659162765,yahoo.com,2
655,639233230,google.com,3
532,637113133,yahoo.com,3
175,642301665,amazon.com,1
696,653828556,yahoo.com,2
728,652107798,facebook.com,3
38,641041531,wikipedia.org,0
450,643465102,wikipedia.org,1
28,635735764,qq.com,3
123,657834415,facebook.com,1
434,651803593,facebook.com,2
650,647335940,qq.com,2
552,634955328,taobao.com,1
607,650588247,youtube.com,1
143,643492060,google.com,2
36,638199894,google.com,1
5,640833806,google.com,2
575,654162458,google.com,2
330,638546177,twitter.com,0
543,640044070,facebook.com,1
364,652718624,qq.com,0
684,646700198,twitter.com,1
582,655407118,youtube.com,0
36,636230940,google.com,3
535,639969397,google.com,1
443,653099372,youtube.com,1
468,653056665,baidu.com,1
324,642255440,youtube.com,2
574,660399451,baidu.com,3
478,649606527,facebook.com,3
253,648532705,youtube.com,2
48,654224696,yahoo.com,0
377,649588281,youtube.com,2
86,650321763,baidu.com,0
205,656049788,youtube.com,2
376,642118253,baidu.com,2
50,633980247,facebook.com,2
221,650339708,google.com,2
42,651992207,qq.com,1
368,652427530,youtube.com,1
174,645306382,youtube.com,2
457,638814432,facebook.com,0
303,644569481,youtube.com,0
