id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
1,1,1,0,0,0,1,0,1,5,6,5,1,6,5,Oranges,136,Fall,2,"< 2 years, I'm fresh!"
2,0,1,0,0,0,0,0,1,3,6,4,1,5,5,Apples,112,Summer,1,"None, I just finished my undergrad!"
3,1,0,1,0,0,1,1,1,4,4,7,1,1,5,Oranges,97,Spring,1,"None, I just finished my undergrad!"
4,0,0,1,0,0,1,0,2,1,8,7,2,5,5,Oranges,1879,Winter,1,"None, I just finished my undergrad!"
5,1,0,0,0,1,1,0,5,4,6,6,6,1,7,Apples,699,Spring,2,"< 2 years, I'm fresh!"
6,0,0,0,0,0,0,0,2,2,7,2,2,3,5,Apples,340,Fall,1,"None, I just finished my undergrad!"
7,0,0,0,1,0,1,0,8,5,6,5,3,7,5,Oranges,874,Winter,4,"5+ years, I'm a veteran!"
8,0,0,0,0,0,1,0,3,2,10,7,1,5,5,Apples,118,Fall,1,"None, I just finished my undergrad!"
9,1,1,1,0,0,1,1,1,3,8,8,1,1,1,Oranges,0,Winter,1,"None, I just finished my undergrad!"
10,1,1,1,0,0,0,0,0,6,8,6,0,0,3,Oranges,310,Spring,1,"None, I just finished my undergrad!"
11,1,0,0,0,0,1,0,6,5,8,8,1,3,5,Oranges,947,Spring,1,"None, I just finished my undergrad!"
12,0,0,1,0,0,1,1,2,2,2,3,1,1,3,Oranges,379,Fall,2,"< 2 years, I'm fresh!"
13,0,1,0,0,0,0,0,3,7,10,9,1,1,5,Oranges,863,Winter,1,"None, I just finished my undergrad!"
14,0,0,0,0,0,0,1,7,2,6,6,1,6,7,Oranges,1033,Summer,4,"5+ years, I'm a veteran!"
15,1,1,0,0,0,0,0,1,8,5,5,6,6,8,Apples,144,Summer,1,"None, I just finished my undergrad!"
16,1,0,0,0,0,1,0,1,2,7,5,1,1,3,Apples,331,Fall,1,"None, I just finished my undergrad!"
17,0,1,1,0,0,1,0,5,5,5,5,1,1,3,Apples,261,Summer,1,"None, I just finished my undergrad!"
