id,cs_python,cs_java,cs_c,cs_perl,cs_javascript,cs_r,cs_sas,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,fruit,len_answer,season,experience_coded,experience
1,1,0,1,0,0,1,1,2,2,2,5,0,3,6,Oranges,74,Summer,1,"None, I just finished my undergrad!"
2,1,1,0,0,0,0,0,4,9,7,7,6,3,8,Apples,597,Spring,1,"None, I just finished my undergrad!"
3,0,0,0,0,0,0,0,7,5,4,3,2,9,9,Oranges,548,Fall,4,"5+ years, I'm a veteran!"
4,0,0,1,0,0,0,0,7,7,5,4,1,6,8,Apples,954,Spring,4,"5+ years, I'm a veteran!"
5,0,0,1,0,0,1,1,7,6,8,8,4,6,7,Apples,612,Fall,3,"2-5 years, I'm getting good at what I do!"
6,1,0,0,0,0,0,0,1,2,9,9,2,1,2,Apples,360,Spring,1,"None, I just finished my undergrad!"
7,1,0,1,0,0,1,0,8,7,8,8,6,8,8,Apples,910,Fall,3,"2-5 years, I'm getting good at what I do!"
8,1,1,1,0,1,0,0,7,9,8,6,8,6,8,Oranges,904,Summer,3,"2-5 years, I'm getting good at what I do!"
9,1,1,1,0,0,1,1,5,4,7,8,4,3,6,Oranges,928,Summer,1,"None, I just finished my undergrad!"
10,1,1,1,0,0,0,0,4,6,3,5,3,1,8,Apples,623,Fall,1,"None, I just finished my undergrad!"
11,1,0,0,0,1,0,0,1,3,2,1,3,4,6,Oranges,555,Summer,2,"< 2 years, I'm fresh!"
12,0,1,0,0,0,0,0,1,2,7,6,1,7,8,Apples,1230,Fall,1,"None, I just finished my undergrad!"
13,1,0,0,0,0,1,0,1,5,10,9,1,1,2,Apples,163,Fall,1,"None, I just finished my undergrad!"
14,0,0,1,0,0,1,1,4,3,8,8,1,3,6,Apples,332,Spring,2,"< 2 years, I'm fresh!"
15,1,0,0,0,0,1,0,3,7,9,2,7,2,7,Apples,1187,Spring,3,"2-5 years, I'm getting good at what I do!"
16,1,0,0,0,0,1,0,1,3,8,6,5,3,6,Oranges,704,Spring,1,"None, I just finished my undergrad!"
17,0,1,0,0,0,0,0,2,3,6,5,3,3,4,Oranges,863,Fall,1,"None, I just finished my undergrad!"
18,1,0,0,0,0,1,1,5,3,7,5,1,9,10,Apples,199,Summer,1,"None, I just finished my undergrad!"
19,1,1,1,0,0,1,0,1,6,10,9,7,4,8,Apples,734,Summer,1,"None, I just finished my undergrad!"
20,1,1,1,1,1,1,0,5,9,9,7,8,8,8,Apples,215,Spring,1,"None, I just finished my undergrad!"
21,1,1,1,0,0,1,0,4,5,8,8,3,4,7,Oranges,443,Fall,1,"None, I just finished my undergrad!"
22,1,0,0,0,0,1,0,7,3,6,4,2,4,3,Apples,329,Fall,2,"< 2 years, I'm fresh!"
23,1,1,0,0,0,1,0,5,2,6,7,1,4,4,Oranges,472,Fall,2,"< 2 years, I'm fresh!"
24,1,0,0,0,1,0,1,4,3,6,6,1,4,5,Apples,1177,Fall,1,"None, I just finished my undergrad!"
25,0,0,0,0,0,1,0,2,2,7,5,1,6,6,Apples,411,Fall,1,"None, I just finished my undergrad!"
26,1,0,0,0,0,0,0,3,2,6,3,1,1,1,Oranges,547,Fall,1,"None, I just finished my undergrad!"
27,1,0,0,0,0,1,1,5,5,8,9,1,7,6,Oranges,203,Fall,1,"None, I just finished my undergrad!"
28,0,0,0,0,0,1,0,1,2,7,7,1,9,8,Oranges,303,Fall,3,"2-5 years, I'm getting good at what I do!"
29,1,1,0,0,0,0,0,1,7,7,5,1,1,7,Apples,703,Fall,2,"< 2 years, I'm fresh!"
30,0,0,0,0,0,1,0,8,0,8,6,0,1,5,Apples,277,Spring,2,"< 2 years, I'm fresh!"
31,1,0,0,0,0,0,0,1,4,6,2,1,3,8,Apples,1324,Spring,3,"2-5 years, I'm getting good at what I do!"
32,0,0,1,0,1,0,0,1,6,3,5,1,7,7,Oranges,845,Fall,3,"2-5 years, I'm getting good at what I do!"
33,0,0,0,0,0,1,1,4,2,5,6,3,3,6,Apples,974,Summer,2,"< 2 years, I'm fresh!"
34,1,0,0,0,0,1,0,2,2,8,7,3,2,2,Oranges,116,Summer,2,"< 2 years, I'm fresh!"
35,1,0,0,0,0,0,0,5,3,5,5,1,7,6,Apples,628,Fall,2,"< 2 years, I'm fresh!"
36,0,0,1,0,0,0,0,1,2,5,4,1,1,5,Oranges,327,Fall,2,"< 2 years, I'm fresh!"
37,1,0,0,0,0,1,0,8,3,3,4,4,6,8,Apples,398,Summer,2,"< 2 years, I'm fresh!"
38,1,0,0,0,0,0,0,7,5,4,5,4,7,9,Apples,1721,Fall,4,"5+ years, I'm a veteran!"
39,0,1,0,0,0,1,0,2,1,6,6,1,1,3,Apples,385,Spring,3,"2-5 years, I'm getting good at what I do!"
40,1,1,0,0,1,1,0,2,8,10,3,3,1,4,Oranges,96,Summer,3,"2-5 years, I'm getting good at what I do!"
41,1,0,0,0,0,1,1,3,5,5,7,3,4,5,Apples,2022,Fall,3,"2-5 years, I'm getting good at what I do!"
42,0,0,0,0,0,1,1,4,1,6,8,1,6,6,Oranges,379,Fall,2,"< 2 years, I'm fresh!"
43,1,0,0,0,0,0,0,1,1,8,7,8,1,3,Apples,366,Winter,2,"< 2 years, I'm fresh!"
